item,report_date,pettah_wholesale_today,narahenpita_retail_today,import
Green Chilli,6/19/2025,550,1000,
Lime,6/19/2025,200,600,
Red Onion (Local),6/19/2025,370,,
Red Onion (lmp),6/19/2025,350,520,
Big Onion (Local),6/19/2025,,,
Big Onion (Imp),6/19/2025,88,150,
Potato (Local),6/19/2025,320,380,
Potato (Imp),6/19/2025,153,220,
Dried Chilli (Imp),6/19/2025,550,760,
Coconut,6/19/2025,155,230,
Coconut oil,6/19/2025,853,894,
Red Dhal,6/19/2025,250,280,
Sugar,6/19/2025,216,230,
Egg,6/19/2025,34,36,
Katta (Imp),6/19/2025,1600,3000,
Sprat (Imp),6/19/2025,850,,
Banana (Sour),6/19/2025,80,160,
Papaw,6/19/2025,80,200,
Pineapple,6/19/2025,,550,
Apple (Imp),6/19/2025,,250,
Orange (Imp),6/19/2025,,260,
Samba,6/19/2025,235,,
Nadu,6/19/2025,225,230,no
Kekulu (White),6/19/2025,215,220,
Kekulu (Red),6/19/2025,215,220,
Ponni Samba (Imp),6/19/2025,230,,
Nadu,6/19/2025,210,220,no
Kekulu (White) (Imp),6/19/2025,208,210,
Kelawalla,6/19/2025,1500,2520,
Thalapath,6/19/2025,2200,,
Balaya,6/19/2025,1100,1380,
Paraw,6/19/2025,1600,,
Salaya,6/19/2025,600,940,
Hurulla,6/19/2025,1250,1540,
Linna,6/19/2025,950,,
Beans,6/18/2025,600,800,
Carrot,6/18/2025,400,700,
Cabbage,6/18/2025,350,560,
Tomato,6/18/2025,300,500,
Brinjal,6/18/2025,450,700,
Pumpkin,6/18/2025,120,240,
Snake gourd,6/18/2025,130,400,
Green Chilli,6/18/2025,500,800,
Lime,6/18/2025,350,600,
Red Onion (Local),6/18/2025,370,,
Red Onion (lmp),6/18/2025,347,520,
Big Onion (Local),6/18/2025,,,
Big Onion (Imp),6/18/2025,101,150,
Potato (Local),6/18/2025,340,380,
Potato (Imp),6/18/2025,146,220,
Dried Chilli (Imp),6/18/2025,550,760,
Coconut,6/18/2025,160,230,
Coconut oil,6/18/2025,853,894,
Red Dhal,6/18/2025,250,280,
Sugar,6/18/2025,216,230,
Egg,6/18/2025,34,36,
Katta (Imp),6/18/2025,1600,3000,
Sprat (Imp),6/18/2025,850,,
Banana (Sour),6/18/2025,100,160,
Papaw,6/18/2025,80,200,
Pineapple,6/18/2025,,550,
Apple (Imp),6/18/2025,,250,
Orange (Imp),6/18/2025,,260,
Samba,6/18/2025,235,,
Nadu,6/18/2025,225,230,no
Kekulu (White),6/18/2025,215,220,
Kekulu (Red),6/18/2025,215,220,
Ponni Samba (Imp),6/18/2025,228,,
Nadu,6/18/2025,210,220,no
Kekulu (White) (Imp),6/18/2025,208,210,
Kelawalla,6/18/2025,1500,2520,
Thalapath,6/18/2025,2200,2580,
Balaya,6/18/2025,1100,1380,
Paraw,6/18/2025,1500,1900,
Salaya,6/18/2025,750,940,
Hurulla,6/18/2025,1400,,
Linna,6/18/2025,850,1040,
Beans,6/17/2025,550,800,
Carrot,6/17/2025,450,600,
Cabbage,6/17/2025,400,600,
Tomato,6/17/2025,350,500,
Brinjal,6/17/2025,450,800,
Pumpkin,6/17/2025,120,240,
Snake gourd,6/17/2025,130,480,
Green Chilli,6/17/2025,600,1000,
Lime,6/17/2025,250,800,
Red Onion (Local),6/17/2025,367,,
Red Onion (lmp),6/17/2025,350,520,
Big Onion (Local),6/17/2025,,,
Big Onion (Imp),6/17/2025,96,150,
