item,report_date,pettah_wholesale_today,narahenpita_retail_today,import
Thalapath,10/14/2020,750,960,
Balaya,10/14/2020,350,460,
Paraw,10/14/2020,560,860,
Salaya,10/14/2020,180,280,
Hurulla,10/14/2020,400,520,
Beans,10/13/2020,115,240,
Carrot,10/13/2020,117,200,
Cabbage,10/13/2020,90,160,
Tomato,10/13/2020,90,200,
Brinjal,10/13/2020,83,180,
Pumpkin,10/13/2020,60,120,
Snake gourd,10/13/2020,85,200,
Red Onion (Local),10/13/2020,253,280,
Red Onion (lmp),10/13/2020,300,340,
Big Onion (Local),10/13/2020,220,240,
Big Onion (Imp),10/13/2020,116,143,
Potato (Local),10/13/2020,133,200,
Potato (Imp),10/13/2020,115,160,
Dried Chillie (Imp),10/13/2020,410,480,
Coconut,10/13/2020,69,65,
Coconut oil/Ltr,10/13/2020,380,493,
Dhal,10/13/2020,158,160,
Sugar,10/13/2020,127,130,
Egg,10/13/2020,14.5,16,
Sprat,10/13/2020,550,800,
Green Chillie,10/13/2020,150,300,
Lime,10/13/2020,85,200,
Banana (Sour),10/13/2020,60,130,
Papaw,10/13/2020,45,110,
Pineapple,10/13/2020,180,140,
Apple (Imp)/Each,10/13/2020,48,67,
Orange (Imp)/Each,10/13/2020,58,65,
Samba,10/13/2020,106,100,
Nadu,10/13/2020,91,96,no
Kekulu (White),10/13/2020,90,93,
Kekulu (Red),10/13/2020,90,93,
Kelawalla,10/13/2020,550,790,
Thalapath,10/13/2020,750,950,
Balaya,10/13/2020,350,480,
Paraw,10/13/2020,600,840,
Salaya,10/13/2020,220,280,
Hurulla,10/13/2020,350,500,
Beans,10/12/2020,155,240,
Carrot,10/12/2020,135,180,
Cabbage,10/12/2020,110,180,
Tomato,10/12/2020,100,200,
Brinjal,10/12/2020,97,140,
Pumpkin,10/12/2020,60,160,
Snake gourd,10/12/2020,120,200,
Red Onion (Local),10/12/2020,255,280,
Red Onion (lmp),10/12/2020,280,340,
Big Onion (Local),10/12/2020,227,240,
Big Onion (Imp),10/12/2020,133,158,
Potato (Local),10/12/2020,137,200,
Potato (Imp),10/12/2020,126,160,
Dried Chillie (Imp),10/12/2020,410,480,
Coconut,10/12/2020,69,65,
Coconut oil/Ltr,10/12/2020,380,493,
Dhal,10/12/2020,158,160,
Sugar,10/12/2020,127,130,
Egg,10/12/2020,15,16,
Sprat,10/12/2020,550,800,
Green Chillie,10/12/2020,165,320,
Lime,10/12/2020,75,160,
Banana (Sour),10/12/2020,60,130,
Papaw,10/12/2020,45,110,
Pineapple,10/12/2020,190,130,
Apple (Imp)/Each,10/12/2020,48,63,
Orange (Imp)/Each,10/12/2020,58,60,
Samba,10/12/2020,108,108,
Nadu,10/12/2020,91,96,no
Kekulu (White),10/12/2020,90,93,
Kekulu (Red),10/12/2020,90,93,
Kelawalla,10/12/2020,550,840,
Thalapath,10/12/2020,750,900,
Balaya,10/12/2020,350,460,
Paraw,10/12/2020,650,860,
Salaya,10/12/2020,220,300,
Hurulla,10/12/2020,350,520,
Beans,10/9/2020,220,220,
Carrot,10/9/2020,110,180,
Cabbage,10/9/2020,90,160,
Tomato,10/9/2020,100,180,
Brinjal,10/9/2020,83,120,
Pumpkin,10/9/2020,63,100,
Snake gourd,10/9/2020,130,220,
Red Onion (Local),10/9/2020,195,280,
Red Onion (lmp),10/9/2020,220,260,
Big Onion (Local),10/9/2020,175,240,
Big Onion (Imp),10/9/2020,220,178,
Potato (Local),10/9/2020,137,200,
Potato (Imp),10/9/2020,115,160,
Dried Chillie (Imp),10/9/2020,410,480,
Coconut,10/9/2020,67,65,
Coconut oil/Ltr,10/9/2020,380,493,
Dhal,10/9/2020,138,160,
Sugar,10/9/2020,126,130,
Egg,10/9/2020,14.5,16.5,
Sprat,10/9/2020,550,800,
Green Chillie,10/9/2020,210,300,
Lime,10/9/2020,65,100,
Banana (Sour),10/9/2020,60,130,
Papaw,10/9/2020,60,120,
Pineapple,10/9/2020,105,130,
Apple (Imp)/Each,10/9/2020,53,63,
Orange (Imp)/Each,10/9/2020,50,60,
Samba,10/9/2020,108,100,
Nadu,10/9/2020,90,96,no
Kekulu (White),10/9/2020,90,93,
Kekulu (Red),10/9/2020,88,93,
Kelawalla,10/9/2020,650,940,
Thalapath,10/9/2020,720,900,
Balaya,10/9/2020,350,480,
Paraw,10/9/2020,650,880,
Salaya,10/9/2020,250,280,
Hurulla,10/9/2020,400,480,
Beans,10/8/2020,185,240,
Carrot,10/8/2020,110,180,
Cabbage,10/8/2020,77,160,
Tomato,10/8/2020,107,200,
Brinjal,10/8/2020,63,160,
Pumpkin,10/8/2020,63,120,
Snake gourd,10/8/2020,120,220,
Red Onion (Local),10/8/2020,185,280,
Red Onion (lmp),10/8/2020,200,240,
Big Onion (Local),10/8/2020,170,220,
Big Onion (Imp),10/8/2020,220,210,
Potato (Local),10/8/2020,133,180,
Potato (Imp),10/8/2020,117,160,
Dried Chillie (Imp),10/8/2020,410,480,
Coconut,10/8/2020,64,65,
Coconut oil/Ltr,10/8/2020,380,493,
Dhal,10/8/2020,138,160,
Sugar,10/8/2020,126,130,
Egg,10/8/2020,15.5,16.5,
Sprat,10/8/2020,550,800,
Green Chillie,10/8/2020,200,320,
Lime,10/8/2020,60,120,
Banana (Sour),10/8/2020,60,130,
Papaw,10/8/2020,60,120,
Pineapple,10/8/2020,115,140,
Apple (Imp)/Each,10/8/2020,42,64,
Orange (Imp)/Each,10/8/2020,49,70,
Samba,10/8/2020,108,100,
Nadu,10/8/2020,90,96,no
Kekulu (White),10/8/2020,90,93,
Kekulu (Red),10/8/2020,88,93,
Kelawalla,10/8/2020,650,940,
Balaya,10/8/2020,420,500,
Paraw,10/8/2020,680,900,
Salaya,10/8/2020,280,250,
Hurulla,10/8/2020,400,520,
Beans,10/7/2020,220,260,
Carrot,10/7/2020,135,180,
Cabbage,10/7/2020,87,160,
Tomato,10/7/2020,123,180,
Brinjal,10/7/2020,77,160,
Pumpkin,10/7/2020,67,100,
Snake gourd,10/7/2020,140,220,
Red Onion (Local),10/7/2020,195,280,
Red Onion (lmp),10/7/2020,240,280,
Big Onion (Local),10/7/2020,175,220,
Big Onion (Imp),10/7/2020,230,160,
Potato (Local),10/7/2020,137,180,
Potato (Imp),10/7/2020,123,160,
Dried Chillie (Imp),10/7/2020,410,480,
Coconut,10/7/2020,64,65,
Coconut oil/Ltr,10/7/2020,380,493,
Dhal,10/7/2020,138,160,
Sugar,10/7/2020,126,130,
Egg,10/7/2020,16.5,17,
Sprat,10/7/2020,550,800,
Green Chillie,10/7/2020,200,300,
Lime,10/7/2020,65,140,
Banana (Sour),10/7/2020,65,140,
Papaw,10/7/2020,60,100,
Pineapple,10/7/2020,120,130,
Apple (Imp)/Each,10/7/2020,43,50,
Orange (Imp)/Each,10/7/2020,48,60,
Samba,10/7/2020,108,100,
Nadu,10/7/2020,90,96,no
Kekulu (White),10/7/2020,90,93,
Kekulu (Red),10/7/2020,88,93,
Kelawalla,10/7/2020,650,940,
Balaya,10/7/2020,400,550,
Paraw,10/7/2020,700,920,
Salaya,10/7/2020,280,220,
Hurulla,10/7/2020,400,440,
Beans,10/6/2020,230,240,
Carrot,10/6/2020,140,200,
Cabbage,10/6/2020,90,160,
Tomato,10/6/2020,123,200,
Brinjal,10/6/2020,83,140,
Pumpkin,10/6/2020,75,120,
Snake gourd,10/6/2020,145,240,
Red Onion (Local),10/6/2020,183,280,
Red Onion (lmp),10/6/2020,230,260,
Big Onion (Local),10/6/2020,153,180,
Big Onion (Imp),10/6/2020,170,118,
Potato (Local),10/6/2020,127,180,
Potato (Imp),10/6/2020,112,160,
Dried Chillie (Imp),10/6/2020,410,480,
Coconut,10/6/2020,64,65,
Coconut oil/Ltr,10/6/2020,380,493,
Dhal,10/6/2020,138,160,
Sugar,10/6/2020,126,130,
Egg,10/6/2020,15.5,17,
Sprat,10/6/2020,550,800,
Green Chillie,10/6/2020,200,320,
Lime,10/6/2020,65,120,
Banana (Sour),10/6/2020,65,140,
Papaw,10/6/2020,60,100,
Pineapple,10/6/2020,115,130,
Apple (Imp)/Each,10/6/2020,43,50,
Orange (Imp)/Each,10/6/2020,47,60,
Samba,10/6/2020,108,100,
Nadu,10/6/2020,90,96,no
Kekulu (White),10/6/2020,90,93,
Kekulu (Red),10/6/2020,88,93,
Kelawalla,10/6/2020,700,940,
Thalapath,10/6/2020,900,900,
Balaya,10/6/2020,400,420,
Paraw,10/6/2020,700,920,
Salaya,10/6/2020,280,360,
Hurulla,10/6/2020,400,560,
Beans,10/5/2020,230,260,
Carrot,10/5/2020,140,180,
Cabbage,10/5/2020,95,160,
Tomato,10/5/2020,123,180,
Brinjal,10/5/2020,83,120,
Pumpkin,10/5/2020,90,100,
Snake gourd,10/5/2020,145,220,
Red Onion (Local),10/5/2020,185,260,
Red Onion (lmp),10/5/2020,230,260,
Big Onion (Local),10/5/2020,170,160,
Big Onion (Imp),10/5/2020,180,128,
Potato (Local),10/5/2020,127,180,
Potato (Imp),10/5/2020,112,160,
Dried Chillie (Imp),10/5/2020,410,480,
Coconut,10/5/2020,66,65,
Coconut oil/Ltr,10/5/2020,380,493,
Dhal,10/5/2020,138,160,
Sugar,10/5/2020,126,130,
Egg,10/5/2020,16.5,17,
Sprat,10/5/2020,550,800,
Green Chillie,10/5/2020,200,300,
Lime,10/5/2020,45,120,
Banana (Sour),10/5/2020,75,140,
Papaw,10/5/2020,60,100,
Pineapple,10/5/2020,135,130,
Apple (Imp),10/5/2020,43,50,
Orange (Imp),10/5/2020,48,60,
Samba,10/5/2020,104,100,
Nadu,10/5/2020,90,96,no
Kekulu (White),10/5/2020,90,93,
Kekulu (Red),10/5/2020,88,93,
Kelawalla,10/5/2020,650,940,
Thalapath,10/5/2020,900,960,
Balaya,10/5/2020,380,420,
Paraw,10/5/2020,600,920,
Salaya,10/5/2020,200,350,
Hurulla,10/5/2020,380,550,
Beans,10/2/2020,193,220,
Carrot,10/2/2020,130,180,
Cabbage,10/2/2020,95,140,
Tomato,10/2/2020,107,180,
Brinjal,10/2/2020,70,120,
Pumpkin,10/2/2020,85,120,
Snake gourd,10/2/2020,135,200,
Red Onion (Local),10/2/2020,175,260,
Red Onion (lmp),10/2/2020,200,240,
Big Onion (Local),10/2/2020,150,160,
Big Onion (Imp),10/2/2020,153,123,
Potato (Local),10/2/2020,123,180,
Potato (Imp),10/2/2020,108,160,
Dried Chillie (Imp),10/2/2020,410,480,
Coconut,10/2/2020,64,65,
Coconut oil/Ltr,10/2/2020,380,493,
Dhal,10/2/2020,137,160,
Sugar,10/2/2020,126,130,
Egg,10/2/2020,16.5,17,
Sprat,10/2/2020,550,800,
Green Chillie,10/2/2020,200,300,
Lime,10/2/2020,45,100,
Banana (Sour),10/2/2020,75,140,
Papaw,10/2/2020,60,100,
Pineapple,10/2/2020,130,130,
Apple (Imp),10/2/2020,28,33,
Orange (Imp),10/2/2020,50,60,
Samba,10/2/2020,104,100,
Nadu,10/2/2020,90,96,no
Kekulu (White),10/2/2020,90,93,
Kekulu (Red),10/2/2020,88,93,
Kelawalla,10/2/2020,650,940,
Thalapath,10/2/2020,900,960,
Balaya,10/2/2020,380,440,
Paraw,10/2/2020,700,860,
Salaya,10/2/2020,180,240,
Hurulla,10/2/2020,350,560,
Beans,9/30/2020,213,240,
Carrot,9/30/2020,140,180,
Cabbage,9/30/2020,95,140,
Tomato,9/30/2020,127,180,
Brinjal,9/30/2020,63,120,
Pumpkin,9/30/2020,100,120,
Snake gourd,9/30/2020,130,240,
Red Onion (Local),9/30/2020,173,260,
Red Onion (lmp),9/30/2020,220,260,
Big Onion (Local),9/30/2020,150,180,
Big Onion (Imp),9/30/2020,175,178,
Potato (Local),9/30/2020,130,180,
Potato (Imp),9/30/2020,108,160,
Dried Chillie (Imp),9/30/2020,410,480,
Coconut,9/30/2020,64,65,
Coconut oil/Ltr,9/30/2020,380,493,
Dhal,9/30/2020,137,160,
Sugar,9/30/2020,126,130,
Egg,9/30/2020,16.5,17,
Sprat,9/30/2020,550,800,
Green Chillie,9/30/2020,220,300,
Lime,9/30/2020,45,100,
Banana (Sour),9/30/2020,80,140,
Papaw,9/30/2020,65,100,
Pineapple,9/30/2020,215,130,
Apple (Imp),9/30/2020,48,44,
Orange (Imp),9/30/2020,58,60,
Samba,9/30/2020,104,100,
Nadu,9/30/2020,90,96,no
Kekulu (White),9/30/2020,90,93,
Kekulu (Red),9/30/2020,88,93,
Kelawalla,9/30/2020,650,940,
Thalapath,9/30/2020,900,900,
Balaya,9/30/2020,360,420,
Paraw,9/30/2020,600,800,
Salaya,9/30/2020,200,220,
Hurulla,9/30/2020,400,490,
Beans,9/29/2020,213,240,
Carrot,9/29/2020,140,180,
Cabbage,9/29/2020,95,140,
Tomato,9/29/2020,127,180,
Brinjal,9/29/2020,63,120,
Pumpkin,9/29/2020,100,160,
Snake gourd,9/29/2020,140,180,
Red Onion (Local),9/29/2020,173,240,
Red Onion (lmp),9/29/2020,200,240,
Big Onion (Local),9/29/2020,154,180,
Big Onion (Imp),9/29/2020,175,183,
Potato (Local),9/29/2020,127,180,
Potato (Imp),9/29/2020,110,160,
Dried Chillie (Imp),9/29/2020,410,480,
Coconut,9/29/2020,69,65,
Coconut oil/Ltr,9/29/2020,380,493,
Dhal,9/29/2020,138,160,
Sugar,9/29/2020,126,130,
Egg,9/29/2020,16.5,17,
Sprat,9/29/2020,550,800,
Green Chillie,9/29/2020,220,300,
Lime,9/29/2020,45,100,
Banana (Sour),9/29/2020,80,140,
Papaw,9/29/2020,70,100,
Pineapple,9/29/2020,215,130,
Apple (Imp),9/29/2020,48,48,
Orange (Imp),9/29/2020,58,58,
Samba,9/29/2020,104,100,
Nadu,9/29/2020,90,96,no
Kekulu (White),9/29/2020,90,93,
Kekulu (Red),9/29/2020,88,93,
Kelawalla,9/29/2020,650,940,
Thalapath,9/29/2020,920,900,
Balaya,9/29/2020,350,490,
Paraw,9/29/2020,650,800,
Salaya,9/29/2020,180,250,
Hurulla,9/29/2020,350,520,
Beans,9/28/2020,210,220,
Carrot,9/28/2020,150,180,
Cabbage,9/28/2020,95,160,
Tomato,9/28/2020,125,200,
Brinjal,9/28/2020,63,100,
Pumpkin,9/28/2020,105,160,
Snake gourd,9/28/2020,140,240,
Red Onion (Local),9/28/2020,168,240,
Red Onion (lmp),9/28/2020,200,240,
Big Onion (Local),9/28/2020,155,180,
Big Onion (Imp),9/28/2020,175,183,
Potato (Local),9/28/2020,127,180,
Potato (Imp),9/28/2020,110,140,
Dried Chillie (Imp),9/28/2020,410,480,
Coconut,9/28/2020,69,65,
Coconut oil/Ltr,9/28/2020,380,493,
Dhal,9/28/2020,138,160,
Sugar,9/28/2020,126,130,
Egg,9/28/2020,16.5,17,
Sprat,9/28/2020,550,800,
Green Chillie,9/28/2020,250,300,
Lime,9/28/2020,45,100,
Banana (Sour),9/28/2020,80,160,
Papaw,9/28/2020,70,120,
Pineapple,9/28/2020,215,140,
Apple (Imp),9/28/2020,48,48,
Orange (Imp),9/28/2020,58,58,
Samba,9/28/2020,104,100,
Nadu,9/28/2020,90,96,no
Kekulu (White),9/28/2020,90,93,
Kekulu (Red),9/28/2020,88,93,
Kelawalla,9/28/2020,650,940,
Thalapath,9/28/2020,900,920,
Balaya,9/28/2020,400,380,
Paraw,9/28/2020,700,900,
Salaya,9/28/2020,180,260,
Hurulla,9/28/2020,350,520,
Beans,9/25/2020,190,280,
Carrot,9/25/2020,130,200,
Cabbage,9/25/2020,60,160,
Tomato,9/25/2020,130,200,
Brinjal,9/25/2020,45,120,
Pumpkin,9/25/2020,105,160,
Snake gourd,9/25/2020,145,240,
Red Onion (Local),9/25/2020,170,280,
Red Onion (lmp),9/25/2020,200,240,
Big Onion (Local),9/25/2020,158,180,
Big Onion (Imp),9/25/2020,175,200,
Potato (Local),9/25/2020,120,180,
Potato (Imp),9/25/2020,102,140,
Dried Chillie (Imp),9/25/2020,410,480,
Coconut,9/25/2020,66,80,
Coconut oil/Ltr,9/25/2020,380,493,
Dhal,9/25/2020,138,160,
Sugar,9/25/2020,126,130,
Egg,9/25/2020,16.5,17.5,
Sprat,9/25/2020,550,800,
Green Chillie,9/25/2020,180,280,
Lime,9/25/2020,45,120,
Banana (Sour),9/25/2020,60,160,
Papaw,9/25/2020,70,120,
Pineapple,9/25/2020,215,140,
Apple (Imp),9/25/2020,48,48,
Orange (Imp),9/25/2020,58,58,
Samba,9/25/2020,104,98,
Nadu,9/25/2020,90,96,no
Kekulu (White),9/25/2020,90,93,
Kekulu (Red),9/25/2020,88,93,
Kelawalla,9/25/2020,650,940,
Thalapath,9/25/2020,950,950,
Balaya,9/25/2020,420,400,
Paraw,9/25/2020,750,900,
Salaya,9/25/2020,180,250,
Hurulla,9/25/2020,330,490,
Beans,9/24/2020,190,280,
Carrot,9/24/2020,167,240,
Cabbage,9/24/2020,65,160,
Tomato,9/24/2020,130,200,
Brinjal,9/24/2020,55,100,
Pumpkin,9/24/2020,105,180,
Snake gourd,9/24/2020,140,240,
Red Onion (Local),9/24/2020,170,240,
Red Onion (lmp),9/24/2020,200,240,
Big Onion (Local),9/24/2020,157,143,
Big Onion (Imp),9/24/2020,175,200,
Potato (Local),9/24/2020,123,180,
Potato (Imp),9/24/2020,102,140,
Dried Chillie (Imp),9/24/2020,410,480,
Coconut,9/24/2020,66,73,
Coconut oil/Ltr,9/24/2020,380,493,
Dhal,9/24/2020,138,140,
Sugar,9/24/2020,126,130,
Egg,9/24/2020,16.5,20,
Sprat,9/24/2020,550,800,
Green Chillie,9/24/2020,200,300,
Lime,9/24/2020,45,160,
Banana (Sour),9/24/2020,60,110,
Papaw,9/24/2020,70,120,
Pineapple,9/24/2020,215,130,
Apple (Imp),9/24/2020,48,48,
Orange (Imp),9/24/2020,55,55,
Samba,9/24/2020,104,98,
Nadu,9/24/2020,90,96,no
Kekulu (White),9/24/2020,90,93,
Kekulu (Red),9/24/2020,88,93,
Kelawalla,9/24/2020,650,940,
Balaya,9/24/2020,360,360,
Paraw,9/24/2020,750,750,
Salaya,9/24/2020,180,260,
Hurulla,9/24/2020,320,560,
Beans,9/23/2020,200,280,
Carrot,9/23/2020,187,200,
Cabbage,9/23/2020,85,160,
Tomato,9/23/2020,135,200,
Brinjal,9/23/2020,55,100,
Pumpkin,9/23/2020,105,180,
Snake gourd,9/23/2020,150,240,
Red Onion (Local),9/23/2020,180,240,
Red Onion (lmp),9/23/2020,220,260,
Big Onion (Local),9/23/2020,153,110,
Big Onion (Imp),9/23/2020,163,200,
Potato (Local),9/23/2020,123,180,
Potato (Imp),9/23/2020,102,140,
Dried Chillie (Imp),9/23/2020,410,480,
Coconut,9/23/2020,69,73,
Coconut oil/Ltr,9/23/2020,380,493,
Dhal,9/23/2020,138,140,
Sugar,9/23/2020,126,130,
Egg,9/23/2020,16.5,20,
Sprat,9/23/2020,550,800,
Green Chillie,9/23/2020,190,300,
Lime,9/23/2020,45,160,
Banana (Sour),9/23/2020,60,110,
Papaw,9/23/2020,70,100,
Pineapple,9/23/2020,215,120,
Apple (Imp),9/23/2020,48,48,
Orange (Imp),9/23/2020,55,55,
Samba,9/23/2020,103,98,
Nadu,9/23/2020,90,96,no
Kekulu (White),9/23/2020,90,93,
Kekulu (Red),9/23/2020,88,93,
Kelawalla,9/23/2020,650,940,
Thalapath,9/23/2020,960,960,
Balaya,9/23/2020,400,360,
Paraw,9/23/2020,700,700,
Salaya,9/23/2020,180,280,
Hurulla,9/23/2020,400,580,
Beans,9/22/2020,170,280,
Carrot,9/22/2020,140,180,
Cabbage,9/22/2020,75,160,
Tomato,9/22/2020,135,180,
Brinjal,9/22/2020,50,100,
Pumpkin,9/22/2020,105,180,
Snake gourd,9/22/2020,150,180,
Red Onion (Local),9/22/2020,170,240,
Red Onion (lmp),9/22/2020,200,240,
Big Onion (Local),9/22/2020,155,160,
Big Onion (Imp),9/22/2020,165,200,
Potato (Local),9/22/2020,123,180,
Potato (Imp),9/22/2020,107,140,
Dried Chillie (Imp),9/22/2020,410,480,
Coconut,9/22/2020,69,73,
Coconut oil/Ltr,9/22/2020,380,493,
Dhal,9/22/2020,138,140,
Sugar,9/22/2020,126,130,
Egg,9/22/2020,16.5,20,
Sprat,9/22/2020,550,800,
Green Chillie,9/22/2020,200,240,
Lime,9/22/2020,45,160,
Banana (Sour),9/22/2020,60,110,
Papaw,9/22/2020,70,100,
Pineapple,9/22/2020,215,120,
Apple (Imp),9/22/2020,48,48,
Orange (Imp),9/22/2020,50,50,
Samba,9/22/2020,96,98,
Nadu,9/22/2020,90,96,no
Kekulu (White),9/22/2020,90,93,
Kekulu (Red),9/22/2020,88,93,
Kelawalla,9/22/2020,650,770,
Thalapath,9/22/2020,900,960,
Balaya,9/22/2020,350,360,
Paraw,9/22/2020,700,650,
Salaya,9/22/2020,250,280,
Hurulla,9/22/2020,450,580,
Beans,9/21/2020,190,260,
Carrot,9/21/2020,120,180,
Cabbage,9/21/2020,70,160,
Tomato,9/21/2020,140,180,
Brinjal,9/21/2020,50,100,
Pumpkin,9/21/2020,125,160,
Snake gourd,9/21/2020,130,180,
Red Onion (local),9/21/2020,165,240,
Red Onion (lmp),9/21/2020,200,240,
Big Onion (local),9/21/2020,155,160,
Big Onion (Imp),9/21/2020,160,200,
Potato (local),9/21/2020,127,180,
Potato (Imp),9/21/2020,107,140,
Dried Chillie (Imp),9/21/2020,410,480,
Coconut,9/21/2020,69,73,
Coconut oil/Ltr,9/21/2020,380,493,
Dhal (Small),9/21/2020,138,140,
Sugar,9/21/2020,126,130,
Egg,9/21/2020,16.5,20,
Sprat,9/21/2020,550,800,
Green Chillie,9/21/2020,200,200,
Lime,9/21/2020,45,100,
Banana (Sour),9/21/2020,60,110,
Papaw,9/21/2020,70,100,
Pineapple,9/21/2020,210,120,
Apple (Imp),9/21/2020,48,48,
Orange (Imp),9/21/2020,53,53,
Samba,9/21/2020,96,98,
Nadu,9/21/2020,90,96,no
Kekulu White,9/21/2020,90,93,
Kekulu Red,9/21/2020,88,93,
Kelawalla,9/21/2020,750,940,
Thalapath,9/21/2020,950,980,
Balaya,9/21/2020,350,380,
Paraw,9/21/2020,700,900,
Salaya,9/21/2020,140,280,
Hurulla,9/21/2020,450,580,
Beans,9/18/2020,200,280,
Carrot,9/18/2020,113,200,
Cabbage,9/18/2020,80,160,
Tomato,9/18/2020,110,200,
Brinjal,9/18/2020,43,120,
Pumpkin,9/18/2020,127,180,
Snake gourd,9/18/2020,140,200,
Red Onion (local),9/18/2020,163,240,
Red Onion (lmp),9/18/2020,200,240,
Big Onion (local),9/18/2020,158,158,
Big Onion (Imp),9/18/2020,168,200,
Potato (local),9/18/2020,128,180,
Potato (Imp),9/18/2020,111,140,
Dried Chillie (Imp),9/18/2020,410,480,
Coconut,9/18/2020,64,73,
Coconut oil/Ltr,9/18/2020,380,493,
Dhal (Small),9/18/2020,138,140,
Sugar,9/18/2020,126,130,
Egg,9/18/2020,16.5,20,
Sprat,9/18/2020,550,800,
Green Chillie,9/18/2020,170,240,
Lime,9/18/2020,45,160,
Banana (Sour),9/18/2020,85,110,
Papaw,9/18/2020,90,100,
Pineapple,9/18/2020,170,120,
Apple (Imp),9/18/2020,48,48,
Orange (Imp),9/18/2020,53,53,
Samba,9/18/2020,96,98,
Nadu,9/18/2020,90,96,no
Kekulu White,9/18/2020,90,93,
Kekulu Red,9/18/2020,88,93,
Kelawalla,9/18/2020,650,940,
Thalapath,9/18/2020,950,960,
Balaya,9/18/2020,450,360,
Paraw,9/18/2020,600,480,
Salaya,9/18/2020,160,250,
Hurulla,9/18/2020,320,560,
Beans,9/17/2020,190,280,
Carrot,9/17/2020,113,160,
Cabbage,9/17/2020,77,160,
Tomato,9/17/2020,117,180,
Brinjal,9/17/2020,43,120,
Pumpkin,9/17/2020,125,200,
Snake gourd,9/17/2020,145,160,
Red Onion (local),9/17/2020,163,240,
Red Onion (lmp),9/17/2020,200,250,
Big Onion (local),9/17/2020,152,150,
Big Onion (Imp),9/17/2020,158,180,
Potato (local),9/17/2020,127,180,
Potato (Imp),9/17/2020,111,140,
Dried Chillie (Imp),9/17/2020,410,480,
Coconut,9/17/2020,65,73,
Coconut oil/Ltr,9/17/2020,380,493,
Dhal (Small),9/17/2020,138,140,
Sugar,9/17/2020,126,130,
Egg,9/17/2020,16.5,20,
Sprat,9/17/2020,550,800,
Green Chillie,9/17/2020,165,240,
Lime,9/17/2020,45,160,
Banana (Sour),9/17/2020,85,120,
Papaw,9/17/2020,90,110,
Pineapple,9/17/2020,170,130,
Apple (Imp),9/17/2020,48,48,
Orange (Imp),9/17/2020,53,53,
Samba,9/17/2020,96,98,
Nadu,9/17/2020,90,96,no
Kekulu White,9/17/2020,90,93,
Kekulu Red,9/17/2020,88,93,
Kelawalla,9/17/2020,620,940,
Thalapath,9/17/2020,920,950,
Balaya,9/17/2020,430,360,
Paraw,9/17/2020,680,480,
Salaya,9/17/2020,150,250,
Hurulla,9/17/2020,450,550,
Beans,9/16/2020,200,260,
Carrot,9/16/2020,113,180,
Cabbage,9/16/2020,80,160,
Tomato,9/16/2020,120,160,
Brinjal,9/16/2020,43,100,
Pumpkin,9/16/2020,125,160,
Snake gourd,9/16/2020,140,180,
Red Onion (local),9/16/2020,173,240,
Red Onion (lmp),9/16/2020,190,220,
Big Onion (local),9/16/2020,153,158,
Big Onion (Imp),9/16/2020,157,160,
Potato (local),9/16/2020,127,180,
Potato (Imp),9/16/2020,111,140,
Dried Chillie (Imp),9/16/2020,410,480,
Coconut,9/16/2020,65,73,
Coconut oil/Ltr,9/16/2020,380,493,
Dhal (Small),9/16/2020,138,140,
Sugar,9/16/2020,126,130,
Egg,9/16/2020,16.5,21,
Sprat,9/16/2020,550,800,
Green Chillie,9/16/2020,130,200,
Lime,9/16/2020,45,140,
Banana (Sour),9/16/2020,85,120,
Papaw,9/16/2020,90,110,
Pineapple,9/16/2020,170,130,
Apple (Imp),9/16/2020,48,48,
Orange (Imp),9/16/2020,53,53,
Samba,9/16/2020,96,98,
Nadu,9/16/2020,90,96,no
Kekulu White,9/16/2020,90,93,
Kekulu Red,9/16/2020,88,93,
Kelawalla,9/16/2020,600,940,
Thalapath,9/16/2020,900,960,
Balaya,9/16/2020,380,360,
Paraw,9/16/2020,750,480,
Salaya,9/16/2020,160,250,
Hurulla,9/16/2020,400,550,
Beans,9/15/2020,230,280,
Carrot,9/15/2020,115,180,
Cabbage,9/15/2020,83,160,
Tomato,9/15/2020,113,180,
Brinjal,9/15/2020,55,120,
Pumpkin,9/15/2020,130,200,
Snake gourd,9/15/2020,145,200,
Red Onion (local),9/15/2020,163,240,
Red Onion (lmp),9/15/2020,200,240,
Big Onion (local),9/15/2020,153,158,
Big Onion (Imp),9/15/2020,153,160,
Potato (local),9/15/2020,130,180,
Potato (Imp),9/15/2020,111,140,
Dried Chillie (Imp),9/15/2020,410,480,
Coconut,9/15/2020,64,73,
Coconut oil/Ltr,9/15/2020,380,493,
Dhal (Small),9/15/2020,138,140,
Sugar,9/15/2020,126,130,
Egg,9/15/2020,16.5,21,
Sprat,9/15/2020,550,800,
Green Chillie,9/15/2020,140,240,
Lime,9/15/2020,45,140,
Banana (Sour),9/15/2020,85,120,
Papaw,9/15/2020,90,120,
Pineapple,9/15/2020,170,130,
Apple (Imp),9/15/2020,48,48,
Orange (Imp),9/15/2020,55,55,
Samba,9/15/2020,96,98,
Nadu,9/15/2020,90,96,no
Kekulu White,9/15/2020,90,93,
Kekulu Red,9/15/2020,88,93,
Kelawalla,9/15/2020,600,940,
Thalapath,9/15/2020,900,960,
Balaya,9/15/2020,450,460,
Paraw,9/15/2020,750,580,
Salaya,9/15/2020,160,300,
Hurulla,9/15/2020,450,680,
